Quote CreatedAt,CP Name,mode,Total Quotes Requested,Total Requested Shipment,Total Quotes Awarded,Total Booked Shipment,Total Shipment Failed by CP,Total Quotes Failed by Vendor,Abandon Shipments by CP,Abandon Shipments by Vendor,Avg. Booking Lead Time (In Minutes)
6/19/2023 0:00,Hein Family Kitchen,LTL,6,2,1,1,,2,,,5.166666667
6/18/2023 0:00,LA Floor Coverings,LTL,3,1,,,,1,,,
6/18/2023 0:00,LazySuzy,LTL,12,4,,,,4,4,,
6/17/2023 0:00,Bravus Brewing Company,LTL,8,1,1,1,,,,,4.866666667
6/17/2023 0:00,LazySuzy,LTL,39,3,,,,,3,,
6/16/2023 0:00,Aeotec Americas,LTL,10,1,1,1,,,,,3.9
6/16/2023 0:00,Allegheny Store Fixtures,FTL,57,4,2,2,,36,2,2,292.1537037
6/16/2023 0:00,Banyan Plastics,FTL,51,5,2,2,,10,3,1,7.875
6/16/2023 0:00,BBQ Grill Outlet,LTL,31,3,,,1,,2,,
6/16/2023 0:00,Big Frig,LTL,8,1,,,,,1,,
6/16/2023 0:00,Cast Fishing Co,Customs,1,1,1,1,,,,,1.25
6/16/2023 0:00,"Dabos, Inc",FTL,10,1,,,,2,1,,
6/16/2023 0:00,"Dabos, Inc",LTL,10,1,,,,,1,,
6/16/2023 0:00,Dahdoul Textiles,LTL,33,4,2,2,1,2,1,,7.995833333
6/16/2023 0:00,DRC Industries,FTL,118,9,6,6,1,33,2,2,52.43421053
6/16/2023 0:00,DRC Industries,LTL,79,8,4,4,1,,3,,2.789316239
6/16/2023 0:00,Facility Armor,LTL,13,1,1,1,,1,,,2.25
6/16/2023 0:00,Frimpeks,LTL,23,3,,,3,2,,,
6/16/2023 0:00,Greenlam America Inc,LTL,10,5,2,2,,3,3,,61.85
6/16/2023 0:00,Grow Cargo,FCL,1,1,1,1,,,,,0.766666667
6/16/2023 0:00,Grow Cargo,LTL,8,1,1,1,,,,,2.75
6/16/2023 0:00,Innovative Forage,FTL,14,1,,,1,6,,1,
6/16/2023 0:00,Inxeption Marketplace,FTL,175,19,10,15,,35,4,4,618.9763021
6/16/2023 0:00,Inxeption Marketplace,LTL,105,8,5,5,2,,1,,3.924047619
6/16/2023 0:00,JK Snacks,FTL,16,1,,,,2,1,1,
6/16/2023 0:00,JS Marketing,LTL,4,2,2,2,,,,,1.791666667
6/16/2023 0:00,"JumpSport, Inc.",LTL,33,3,,,3,2,,,
6/16/2023 0:00,Kammok,LTL,12,1,1,1,,,,,2.366666667
6/16/2023 0:00,KOACORE,FTL,80,8,,,,49,8,8,
6/16/2023 0:00,LA Floor Coverings,LTL,54,5,2,2,2,,1,,11.83968254
6/16/2023 0:00,Land View Inc,LTL,7,1,,,,,1,,
6/16/2023 0:00,LazySuzy,LTL,145,15,1,1,4,10,10,,8.133333333
6/16/2023 0:00,McAllister Retail Services,LTL,12,1,1,1,,,,,3.716666667
6/16/2023 0:00,Mersi Distribution,LTL,2,1,,,1,,,,
6/16/2023 0:00,MKB Company,LTL,32,4,2,2,1,2,1,,6.291666667
6/16/2023 0:00,Petersen Linens Company,LTL,8,1,1,1,,,,,32.46666667
6/16/2023 0:00,Poly Plus Solutions LLC,FTL,49,4,1,1,1,15,2,3,65.43333333
6/16/2023 0:00,Prime Packaging,LTL,11,1,,,1,,,,
6/16/2023 0:00,Priority Tire,LTL,41,4,,,,,4,,
6/16/2023 0:00,R&R Corp,FTL,57,5,,,2,16,3,1,
6/16/2023 0:00,RCI Off Road,LTL,24,3,1,1,2,,,,2.316666667
6/16/2023 0:00,Regal Beloit - International,FCL,15,15,15,15,,,,,312.5588889
6/16/2023 0:00,Rehab Racing Development,LTL,9,1,1,1,,,,,4.116666667
6/16/2023 0:00,Renwick Handcrafted Tiles,LTL,7,1,,,,,1,,
6/16/2023 0:00,Revolve,LTL,18,2,1,1,1,1,,,1.1
6/16/2023 0:00,Rhinotex,LTL,2,1,,,1,,,,
6/16/2023 0:00,Rugged Road Outdoors,LTL,7,1,1,1,,,,,6.35
6/16/2023 0:00,Seat Specialists,LTL,4,2,,,2,,,,
6/16/2023 0:00,Source Direct,LTL,2,1,,,1,,,,
6/16/2023 0:00,Southeastern Corrugated,FTL,40,4,4,4,,8,,,2.425
6/16/2023 0:00,Sun Image Distributors,LTL,40,4,2,2,2,,,,11.55
6/16/2023 0:00,The Joggle Factory,Air,1,1,1,1,,,,,2.233333333
